店名,住所,営業時間,定休日,座席,緯度,経度
ラーメン,〒454-0911 愛知県名古屋市中川区高畑5-25  マンション善 1F,11:00～14:30【土・日・祝】10:00～15:00,水曜日,10席,35.145580,136.851807
いえろう,愛知県名古屋市中川区中野本町1-37,11:00～14:00／18:00～20:00,第1、第3、第5火曜各水曜,カウンター4席、テーブル4席×1卓、5席×1卓,35.132050,136.884430
ラーメン大 名古屋店,〒460-0003 愛知県名古屋市中区錦2-9-6 名和丸の内ビル1F,11:00～14:30／17:00～21:00 [土] 11:00～14:30／17:00～20:30[日・祝] 11:00～14:30（売り切れ次第終了）,臨時休暇、夏季休暇など有り,カウンター9席,35.171043,136.898071
ラーメン荘 歴史を刻め 新栄店,〒460-0007 愛知県名古屋市中区新栄2-27-12,10:00～14:00／18:00～22:00,日曜,,35.166435,136.920059
天高く翔べ！,〒496-0809 愛知県津島市昭和町1-25,11:00～15:00,不定休,16席,35.180569,136.727951
自家製麺屋 知多らうど2669,〒479-0836 愛知県常滑市栄町2-103,11:00～14:00／18:00～21:00[土] 11:00～14:30／18:00～21:00[日] 11:00～14:30※各ラストオーダー,水曜,カウンター10席,34.888802,136.837967
麺屋 GOO ～noodle house～,〒471-0808 愛知県豊田市渋谷町1-6-8,11:00～21:00※売り切れ次第終了,火曜日,カウンター20席、テーブル4席×3,35.085526,137.184601
麺屋 三郎,愛知県一宮市三条字四反田79-5,11:30～14:00ラストオーダー 18:30～21:30ラストオーダー,月曜夜、火曜日,,35.311958,136.757263
極太濁流ラーメン ら・けいこ 本店,〒460-0008 愛知県名古屋市中区栄4-12-6 ロイヤル栄ビル1F,11:30〜14:30／18:00〜22:00,日曜,カウンター8席,35.167397,136.911453
DEBU SOBA REPUBLIC 北部市場店,〒480-0202 愛知県西春日井郡豊山町大字豊場字八反121 北部市場総合食品ビル1F,11:00～14:00／18:00～23:00※夏季は昼営業のみ,火曜、水曜,カウンター12席,35.241863,136.907913
まるぎん二号,愛知県岡崎市昭和町字下川田10-2,11:00〜14:00／17:30〜22:00（L.O.21:50）※売り切れ次第終了,水曜日,,34.944061,137.119476
継承 あっ晴れ 大府店,〒474-0011 愛知県大府市横根町前田50-1,11:30～14:30／17:30～21:00[土・日・祝] 11:30～21:00※各ラストオーダー,無休,カウンター17席,35.014961,136.979813
まるはち 春日井店,〒486-0912 愛知県春日井市高山町3-9-3,11:00～14:00／18:00～22:00[日] 11:00～14:00／18:00～21:00,月曜日（祝日の場合は翌日）第4日曜日夜（昼は営業）,,35.257084,136.953705
豚山 栄店,〒460-0008 愛知県名古屋市中区栄3-12-12,11:00～24:00,無休,15席,35.166382,136.904633
